opportunity_id,project_type,project_name,builder_name,city_name,product_name,package_id,quantity,purchase_date,sales_confirmation_date,account_manager,current_status_name,Latest_date,project_start_date
https://lookup.housing.com/opportunity/5362868,,Gagan Properties,Gagan Properties,Pune,Drone Interactive,,1,4-Dec-2024,26-Dec-2024,Pallavi Sonawane,Final Delivery,24-Feb-2025,
https://lookup.housing.com/opportunity/5164527,,Triaxis Splendour,Triaxis Infra Projects,Bangalore,Drone video + voiceover,,1,4-Nov-2024,8-Nov-2024,Deepak Kumar Panigrahy,1st Cut Delivery,27-Dec-2024,9-Dec-2024
https://lookup.housing.com/opportunity/5574960,,Aditya Ankur,Aditya Properties,Bangalore,Drone Interactive,,1,1-Jan-2025,3-Jan-2025,Bishnu Sahu,1st Cut Delivery,4-Feb-2025,
https://lookup.housing.com/opportunity/5430153,,Gangagiri projects,Gagangiri Construction,Mumbai,Custom content,,1,12-Dec-2024,12-Dec-2024,Jatin Chandrakant Pawar,2nd Cut Delivery,9-Mar-2025,16-Dec-2024
https://lookup.housing.com/opportunity/5137813,,KLJ Greens,KLJ Developers Private Limited,Delhi,Drone video + voiceover,,1,25-Oct-2024,28-Oct-2024,Apurva Gupta,3rd Cut Delivery,6-Jan-2025,30-Oct-2024
https://lookup.housing.com/opportunity/5137813,,KLJ Greens,KLJ Developers Private Limited,Delhi,Drone Interactive,,1,25-Oct-2024,28-Oct-2024,Apurva Gupta,3rd Cut Delivery,26-Nov-2024,30-Oct-2024
https://lookup.housing.com/opportunity/5165928,,Grand Mini City,GROUP G,Bhubaneswar,Custom content,,1,1-Dec-2024,7-Nov-2024,Madhushree Mukherjee,1st Cut Delivery,12-Dec-2024,21-Nov-2024
https://lookup.housing.com/opportunity/5216716,,Shubhankar One,ABS Shubhankar Group,Udaipur,Drone video + voiceover,,1,14-Nov-2024,14-Nov-2024,Ankit Goyal,1st Cut Delivery,31-Dec-2024,28-Nov-2024
https://lookup.housing.com/opportunity/5769056,,Sameera 117,Sameera Estates Pvt Ltd,Chennai,Drone video + voiceover,,1,6-Feb-2025,6-Feb-2025,Udhaya Sankar,1st Cut Delivery,8-Feb-2025,6-Feb-2025
https://lookup.housing.com/opportunity/4862349,,KWT Pimpri,Kohinoor Group,Pune,Area Wiki Lite,,1,4-Sep-2024,5-Sep-2024,Nikita Chetan Mehta,2nd Cut Delivery,12-Nov-2024,9-Sep-2024
https://lookup.housing.com/opportunity/5087298,,Syug The 1,SYUG,Bangalore,Drone Interactive,,1,29-Oct-2024,14-Oct-2024,Deepak Kumar Panigrahy,2nd Cut Delivery,28-Oct-2024,21-Oct-2024
https://lookup.housing.com/opportunity/5087298,,Syug The 1,SYUG,Bangalore,Area Wiki Lite,,1,29-Oct-2024,14-Oct-2024,Deepak Kumar Panigrahy,1st Cut Delivery,9-Dec-2024,16-Oct-2024
https://lookup.housing.com/opportunity/5165928,,Woods of Grace,GROUP G,Bhubaneswar,Drone Interactive,,1,1-Dec-2024,7-Nov-2024,Madhushree Mukherjee,1st Cut Delivery,9-Dec-2024,7-Nov-2024
https://lookup.housing.com/opportunity/5165928,,Gardens of Grace,GROUP G,Bhubaneswar,Drone Interactive,,1,1-Dec-2024,7-Nov-2024,Madhushree Mukherjee,1st Cut Delivery,9-Dec-2024,7-Nov-2024
